171,3,20,2
191,0,50,5
241,2,100,2
312,1,50,4
94,8,50,1
196,9,30,3
241,2,-100,2
94,8,-50,1
196,9,-30,3
344,5,40,3
344,5,-40,3
334,4,30,4
334,4,-30,4
432,7,40,2
187,1,40,2
187,1,-40,2
267,3,50,1
271,6,40,4
262,2,30,2
37,0,20,1
37,0,-20,1
68,9,100,4
234,8,20,5
68,9,-100,4
317,4,20,4
234,8,-20,5
343,5,100,3
317,4,-20,4
90,7,20,2
69,1,50,4
156,6,20,4
156,6,-20,4
266,3,30,1
53,0,30,2
223,5,30,4
51,9,100,4
223,5,-30,4
365,8,20,1
97,4,100,5
97,4,-100,5
324,7,50,2
244,3,20,4
227,5,30,5
413,4,30,1
276,8,100,1
276,8,-100,1
300,1,40,4
300,1,-40,4
346,6,50,5
170,3,30,4
321,0,50,5
106,2,30,5
170,3,-30,4
321,0,-50,5
210,9,20,1
334,5,100,5
179,8,30,3
261,7,100,1
179,8,-30,3
261,7,-100,1
397,4,40,2
397,4,-40,2
178,1,20,5
252,6,100,3
238,3,100,5
146,9,50,3
102,5,40,4
146,9,-50,3
102,5,-40,4
264,4,50,4
51,8,20,3
381,7,20,4
381,7,-20,4
53,1,20,4
53,1,-20,4
430,6,40,1
430,6,-40,1
423,3,40,1
423,3,-40,1
249,2,30,5
249,2,-30,5
226,5,100,4
226,5,-100,4
107,9,50,3
314,4,50,1
200,8,40,2
314,4,-50,1
200,8,-40,2
65,7,40,2
65,7,-40,2
337,1,40,4
212,6,100,4
212,6,-100,4
328,3,50,4
328,3,-50,4
253,0,100,5
104,2,40,3
104,2,-40,3
10,9,50,4
131,8,30,1
148,4,20,5
392,7,100,2
345,1,40,3
345,1,-40,3
182,6,20,5
379,3,100,3
341,2,100,1
279,0,100,1
341,2,-100,1
148,7,20,4
151,4,100,2
151,4,-100,2
185,1,20,5
256,6,20,4
256,6,-20,4
415,3,20,4
147,2,40,3
147,2,-40,3
340,5,20,4
216,0,20,3
378,8,100,2
340,5,-20,4
378,8,-100,2
61,9,40,3
61,9,-40,3
81,4,40,5
81,4,-40,5
236,1,40,3
152,6,100,1
152,6,-100,1
37,3,20,2
37,3,-20,2
152,5,40,3
206,4,20,3
206,4,-20,3
66,0,20,2
66,0,-20,2
162,8,50,3
58,9,50,3
3,1,20,4
3,1,-20,4
8,6,40,1
8,6,-40,1
385,3,40,2
385,3,-40,2
360,2,40,3
251,5,40,2
18,4,100,1
220,8,50,2
86,0,50,3
86,0,-50,3
122,9,20,2
400,1,30,5
17,6,40,2
17,6,-40,2
345,3,40,3
105,2,30,5
105,2,-30,5
320,5,30,4
357,4,40,2
152,9,20,1
152,9,-20,1
206,7,40,3
206,7,-40,3
281,8,100,1
1,0,20,3
43,3,100,5
43,3,-100,5
197,2,40,1
4,5,40,5
4,5,-40,5
305,4,30,3
169,9,30,3
184,8,30,3
184,8,-30,3
248,7,40,4
